duration, protocol_type, service, flag, src_bytes, dst_bytes, land, wrong_fragment, urgent, hot, num_failed_logins, logged_in, num_compromised, root_shell, su_attempted, num_root, num_file_creations, num_shells, num_access_files, num_outbound_cmds, is_host_login, is_guest_login, count, srv_count, serror_rate, srv_error_rate, rerror_rate, srv_rerror_rate, same_srv_rate, diff_srv_rate, srv_diff_host_rate, dst_host_count, dst_host_srv_count, dst_host_same_srv_rate, dst_host_diff_srv_rate, dst_host_same_src_port_rate, dst_host_srv_diff_host_rate, dst_host_serror_rate, dst_host_srv_serror_rate, dst_host_rerror_rate, dst_host_srv_rerror_rate, AttackType
0, 0, 0.12, 0.07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.123, 0.013, 0.1, 0.1, 0, 0, 0.011, 0.007, 0, 0.125, 0.013, 0.01, 0.007, 0.001, 0, 0.1, 0.1, 0, 0, Neptune
0, 0, 0, 0, 0.00297, 0.00324, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.007, 0.007, 0, 0, 0, 0, 0.1, 0, 0, 0.048, 0.255, 0.1, 0, 0.004, 0.002, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.00285, 0.25519, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.1, 0, 0, 0.068, 0.255, 0.1, 0, 0.001, 0.004, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.00237, 0.01695, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.1, 0, 0, 0.255, 0.255, 0.1, 0, 0, 0, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.00284, 0.01227, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.006, 0.006, 0, 0, 0, 0, 0.1, 0, 0, 0.075, 0.075, 0.1, 0, 0.001, 0, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.00213, 0.02081, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.008, 0.008, 0, 0, 0, 0, 0.1, 0, 0, 0.008, 0.255, 0.1, 0, 0.012, 0.004, 0, 0, 0, 0, Normal
0, 0, 0.05, 0.06, 0.00126, 0.00179, 0, 0, 0, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.001, 0, 0, 0.1, 0.1, 0.1, 0, 0, 0.015, 0.015, 0.1, 0, 0.007, 0, 0.007, 0.007, 0.093, 0.093, GuessPassword
0, 0, 0, 0, 0.00209, 0.03008, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 0.014, 0, 0, 0, 0, 0.1, 0, 0, 0.014, 0.105, 0.1, 0, 0.007, 0.005, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.0026, 0.01837, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.019, 0.019, 0, 0, 0, 0, 0.1, 0, 0, 0.101, 0.236, 0.1, 0, 0.001, 0.003, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.00312, 0.01357, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.017, 0.017, 0, 0, 0, 0, 0.1, 0, 0, 0.017, 0.255, 0.1, 0, 0.006, 0.005, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.00208, 0.12884, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.009, 0.044, 0, 0, 0, 0, 0.1, 0, 0.007, 0.128, 0.128, 0.1, 0, 0.001, 0, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.00235, 0.0168, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.1, 0, 0, 0.146, 0.255, 0.1, 0, 0.001, 0.003, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.00222, 0.01471, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.007, 0.009, 0, 0, 0, 0, 0.1, 0, 0.022, 0.104, 0.255, 0.1, 0, 0.001, 0.002, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.00232, 0.06722, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.1, 0, 0, 0.255, 0.255, 0.1, 0, 0, 0, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.00263, 0.03253, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.1, 0, 0, 0.009, 0.255, 0.1, 0, 0.011, 0.004, 0, 0.001, 0, 0, Normal
0, 0, 0.12, 0.07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.107, 0.007, 0.1, 0.1, 0, 0, 0.007, 0.007, 0, 0.053, 0.006, 0.011, 0.011, 0.002, 0, 0.1, 0.1, 0, 0, Neptune
0, 0.02, 0.09, 0, 0.01032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.511, 0.511, 0, 0, 0, 0, 0.1, 0, 0, 0.154, 0.009, 0.006, 0.002, 0.006, 0, 0, 0, 0, 0, Smurf
0.0061, 0, 0.05, 0, 0.00294, 0.03929, 0, 0, 0, 0, 0, 0.1, 0, 0.1, 0, 0.4, 0.1, 0, 0, 0, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.1, 0, 0, 0.255, 0.004, 0.002, 0.002, 0, 0, 0, 0.025, 0.073, 0.025, Rootkit
0, 0, 0, 0, 0.0033, 0.01408, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.1, 0, 0, 0.255, 0.255, 0.1, 0, 0, 0, 0, 0, 0, 0, Normal
0, 0, 0.12, 0.05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.076, 0.001, 0.001, 0, 0.092, 0.1, 0.001, 0.1, 0, 0.255, 0.001, 0, 0.033, 0, 0, 0, 0, 0.028, 0.1, Satan
0.0001, 0, 0.12, 0.09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.12, 0.002, 0, 0, 0.1, 0.1, 0.002, 0.056, 0, 0.255, 0.002, 0.001, 0.027, 0.047, 0, 0, 0, 0.053, 0.1, PortSweep
0, 0, 0, 0, 0.00269, 0.09317, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.1, 0, 0, 0.012, 0.255, 0.1, 0, 0.008, 0.006, 0, 0, 0, 0, Normal
0, 0, 0.05, 0.06, 0.00126, 0.00179, 0, 0, 0, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.001, 0, 0, 0.1, 0.1, 0.1, 0, 0, 0.027, 0.027, 0.1, 0, 0.004, 0, 0.007, 0.007, 0.093, 0.093, GuessPassword
0, 0, 0, 0, 0.00213, 0.01713, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.012, 0.017, 0, 0, 0, 0, 0.1, 0, 0.024, 0.255, 0.255, 0.1, 0, 0, 0, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.00256, 0.02595, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.008, 0.008, 0, 0, 0, 0, 0.1, 0, 0, 0.008, 0.143, 0.1, 0, 0.012, 0.004, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.00172, 0.0446, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.1, 0, 0, 0.036, 0.255, 0.1, 0, 0.003, 0.004, 0, 0, 0, 0, Normal
0, 0, 0, 0, 0.00295, 0.00324, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011, 0.011, 0, 0, 0, 0, 0.1, 0, 0, 0.08, 0.255, 0.1, 0, 0.001, 0.002, 0, 0, 0, 0, Normal
