0, 0.02, 0.06, 0, 0.0002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.1, 0, 0, 0.143, 0.001, 0.001, 0.004, 0.001, 0, 0.001, 0, 0, 0
0, 0.02, 0.06, 0, 0.0002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.1, 0, 0, 0.144, 0.002, 0.001, 0.004, 0.002, 0, 0.001, 0, 0, 0
0, 0.02, 0.06, 0, 0.0002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.1, 0, 0, 0.145, 0.003, 0.002, 0.004, 0.003, 0, 0.001, 0, 0, 0
0, 0.01, 0.12, 0, 1E-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.05, 0.1, 0, 0.146, 0.001, 0.001, 0.005, 0.001, 0, 0.001, 0, 0, 0
0, 0.01, 0.12, 0, 1E-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.067, 0.067, 0, 0.147, 0.002, 0.001, 0.005, 0.001, 0, 0.001, 0, 0, 0
0, 0.01, 0.12, 0, 1E-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.004, 0.001, 0, 0, 0, 0, 0.025, 0.075, 0, 0.148, 0.001, 0.001, 0.005, 0.002, 0, 0.001, 0, 0, 0
0, 0.01, 0.12, 0, 1E-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.005, 0.002, 0, 0, 0, 0, 0.04, 0.06, 0, 0.149, 0.002, 0.001, 0.005, 0.003, 0, 0.001, 0, 0, 0
0, 0.01, 0.02, 0, 1E-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.006, 0.001, 0, 0, 0, 0, 0.017, 0.067, 0, 0.15, 0.001, 0.001, 0.006, 0.003, 0, 0.001, 0, 0, 0
0, 0, 0.04, 0, 5E-05, 0.01886, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.007, 0.001, 0, 0, 0, 0, 0.014, 0.071, 0, 0.151, 0.003, 0.002, 0.006, 0.001, 0, 0.001, 0, 0, 0
0.0001, 0, 0.04, 0, 6E-05, 0.01405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.008, 0.002, 0, 0, 0, 0, 0.025, 0.062, 0, 0.152, 0.004, 0.003, 0.006, 0.001, 0, 0.001, 0, 0, 0
0.0001, 0, 0.04, 0, 6E-05, 0.00015, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.006, 0.003, 0, 0, 0, 0, 0.05, 0.05, 0, 0.153, 0.005, 0.003, 0.006, 0.001, 0, 0.001, 0, 0, 0
0.0001, 0, 0.04, 0, 9E-05, 0.00044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.1, 0, 0, 0.154, 0.006, 0.004, 0.006, 0.001, 0, 0.001, 0, 0, 0
0, 0, 0.04, 0, 9E-05, 0.00196, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.005, 0.005, 0, 0, 0, 0, 0.1, 0, 0, 0.155, 0.007, 0.005, 0.006, 0.001, 0, 0.001, 0, 0, 0
0, 0, 0.04, 0, 0.0001, 0.00044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.1, 0, 0, 0.156, 0.008, 0.005, 0.006, 0.001, 0, 0.001, 0, 0, 0
0, 0, 0.24, 0.05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.004, 0.001, 0, 0, 0.025, 0.1, 0.025, 0.05, 0, 0.157, 0.001, 0.001, 0.006, 0.001, 0, 0.001, 0, 0.001, 0.1
0, 0, 0, 0.05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.005, 0.001, 0, 0, 0.04, 0.1, 0.02, 0.06, 0, 0.158, 0.001, 0.001, 0.007, 0.001, 0, 0.001, 0, 0.001, 0.1
0.0001, 0, 0.07, 0, 6E-05, 0.00075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.006, 0.001, 0, 0, 0.033, 0, 0.017, 0.067, 0, 0.159, 0.001, 0.001, 0.008, 0.001, 0, 0.001, 0, 0.001, 0
0.0003, 0, 0.05, 0, 0.00054, 0.00114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.007, 0.001, 0, 0, 0.029, 0, 0.014, 0.071, 0, 0.16, 0.029, 0.018, 0.008, 0.001, 0, 0.001, 0.003, 0.001, 0
0, 0, 0.01, 0, 6E-05, 0.00112, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.006, 0.001, 0, 0, 0.033, 0, 0.017, 0.1, 0, 0.161, 0.145, 0.062, 0.007, 0.001, 0.001, 0.001, 0, 0.001, 0
0, 0, 0.36, 0.05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.007, 0.001, 0, 0, 0.043, 0.1, 0.014, 0.1, 0, 0.162, 0.001, 0.001, 0.008, 0.001, 0, 0.001, 0, 0.002, 0.1
